index,ATR_mult,ATR_num,fast_MA,slow_MA,use_fast_SMA,use_slow_SMA,total_R
135,1.0,20,28,40,1,1,1.19
136,0.6,20,28,40,1,1,-7.534
137,1.5,20,28,40,1,1,3.61
138,2.0,20,28,40,1,1,2.844
139,3.0,20,28,40,1,1,1.569
140,0.6,20,34,40,1,1,4.749
141,1.0,20,34,40,1,1,-2.577
142,1.5,20,34,40,1,1,0.401
143,3.0,20,34,40,1,1,2.655
144,2.0,20,34,40,1,1,-0.496
145,0.6,20,9,60,1,1,-7.237
146,1.0,20,9,60,1,1,-7.911
147,2.0,20,9,60,1,1,4.147
148,1.5,20,9,60,1,1,-5.128
149,3.0,20,9,60,1,1,4.952
150,0.6,20,18,60,1,1,13.588
151,1.0,20,18,60,1,1,7.307
152,1.5,20,18,60,1,1,5.479
153,2.0,20,18,60,1,1,0.768
154,3.0,20,18,60,1,1,1.652
155,1.0,20,28,60,1,1,6.092
156,0.6,20,28,60,1,1,12.206
157,1.5,20,28,60,1,1,3.434
158,2.0,20,28,60,1,1,2.399
159,3.0,20,28,60,1,1,1.095
160,1.0,20,34,60,1,1,-3.927
161,0.6,20,34,60,1,1,-1.836
162,1.5,20,34,60,1,1,-2.725
163,2.0,20,34,60,1,1,-3.342
164,3.0,20,34,60,1,1,-1.996
165,0.6,20,43,60,1,1,16.79
166,1.0,20,43,60,1,1,14.498
167,2.0,20,43,60,1,1,4.531
168,1.5,20,43,60,1,1,7.061
169,3.0,20,43,60,1,1,3.195
170,1.0,20,9,70,1,1,10.781
171,0.6,20,9,70,1,1,15.012
172,2.0,20,9,70,1,1,4.995
173,1.5,20,9,70,1,1,7.319
174,3.0,20,9,70,1,1,2.625
175,0.6,20,18,70,1,1,17.898
176,1.5,20,18,70,1,1,5.774
177,1.0,20,18,70,1,1,9.577
178,2.0,20,18,70,1,1,1.658
179,3.0,20,18,70,1,1,0.9
180,0.6,20,28,70,1,1,7.242
181,1.0,20,28,70,1,1,3.489
182,1.5,20,28,70,1,1,1.259
183,3.0,20,28,70,1,1,1.079
184,2.0,20,28,70,1,1,0.537
185,0.6,20,34,70,1,1,-10.564
186,1.5,20,34,70,1,1,-4.503
187,2.0,20,34,70,1,1,-4.138
188,1.0,20,34,70,1,1,-6.001
189,3.0,20,34,70,1,1,-1.01
190,0.6,20,43,70,1,1,28.707
191,1.0,20,43,70,1,1,16.321
192,1.5,20,43,70,1,1,10.235
193,2.0,20,43,70,1,1,6.7
194,3.0,20,43,70,1,1,3.627
195,0.6,20,9,90,1,1,-12.1
196,1.5,20,9,90,1,1,-4.609
197,1.0,20,9,90,1,1,-9.42
198,2.0,20,9,90,1,1,-4.735
199,3.0,20,9,90,1,1,-3.593
200,0.6,20,18,90,1,1,-7.88
201,1.0,20,18,90,1,1,-6.133
202,1.5,20,18,90,1,1,-5.467
203,2.0,20,18,90,1,1,-6.405
204,3.0,20,18,90,1,1,-4.652
205,0.6,20,28,90,1,1,-16.476
206,1.0,20,28,90,1,1,-7.847
207,2.0,20,28,90,1,1,-3.982
208,1.5,20,28,90,1,1,-6.12
209,3.0,20,28,90,1,1,-3.588
210,0.6,20,34,90,1,1,-9.835
211,1.5,20,34,90,1,1,-2.37
212,1.0,20,34,90,1,1,-6.763
213,2.0,20,34,90,1,1,-2.038
214,3.0,20,34,90,1,1,-3.096
215,2.0,20,43,90,1,1,-2.474
