index,ATR_mult,ATR_num,BB_std_dev,BB_window,total_R
146,1.5,15,3.0,56,-8.265
147,2.0,15,3.0,56,-8.339
148,2.5,15,3.0,56,-7.116
149,3.0,15,3.0,56,-6.66
150,1.0,20,1.0,14,-42.938
151,1.5,20,1.0,14,-36.668
152,2.5,20,1.0,14,-22.37
153,2.0,20,1.0,14,-24.019
154,3.0,20,1.0,14,-21.268
155,2.0,20,1.4,14,-19.027
156,1.5,20,1.4,14,-28.215
157,1.0,20,1.4,14,-32.07
158,2.5,20,1.4,14,-19.202
159,3.0,20,1.4,14,-15.517
160,1.0,20,1.8,14,-19.224
161,1.5,20,1.8,14,-16.415
162,2.0,20,1.8,14,-13.105
163,2.5,20,1.8,14,-13.028
164,3.0,20,1.8,14,-7.669
165,2.0,20,2.4,14,-0.751
166,1.0,20,2.4,14,-8.172
167,1.5,20,2.4,14,-2.961
168,2.5,20,2.4,14,-0.669
169,3.0,20,2.4,14,-2.339
170,1.0,20,3.0,14,-2.146
171,1.5,20,3.0,14,-1.431
172,2.5,20,3.0,14,-1.372
173,2.0,20,3.0,14,-1.073
174,3.0,20,3.0,14,-1.143
175,1.0,20,1.0,18,-30.068
176,1.5,20,1.0,18,-26.473
177,2.5,20,1.0,18,-14.343
178,2.0,20,1.0,18,-17.946
179,3.0,20,1.0,18,-13.361
180,1.0,20,1.4,18,-36.226
181,1.5,20,1.4,18,-21.348
182,2.0,20,1.4,18,-12.717
183,2.5,20,1.4,18,-12.183
184,3.0,20,1.4,18,-11.426
185,1.5,20,1.8,18,-24.296
186,1.0,20,1.8,18,-26.903
187,2.0,20,1.8,18,-19.25
188,2.5,20,1.8,18,-17.551
189,3.0,20,1.8,18,-14.724
190,1.0,20,2.4,18,-20.446
191,1.5,20,2.4,18,-10.752
192,2.0,20,2.4,18,-7.871
193,2.5,20,2.4,18,-6.78
194,3.0,20,2.4,18,-5.466
195,1.0,20,3.0,18,-6.415
196,1.5,20,3.0,18,-5.081
197,2.0,20,3.0,18,-4.925
198,2.5,20,3.0,18,-4.782
199,3.0,20,3.0,18,-4.373
200,1.0,20,1.0,26,-24.786
201,1.5,20,1.0,26,-19.025
202,2.0,20,1.0,26,-12.994
203,2.5,20,1.0,26,-13.928
204,3.0,20,1.0,26,-12.084
205,1.5,20,1.4,26,-30.486
206,1.0,20,1.4,26,-45.663
207,2.0,20,1.4,26,-22.864
208,2.5,20,1.4,26,-17.507
209,3.0,20,1.4,26,-14.978
210,1.0,20,1.8,26,-30.946
211,1.5,20,1.8,26,-22.102
212,2.0,20,1.8,26,-16.61
213,3.0,20,1.8,26,-8.502
214,2.5,20,1.8,26,-10.633
215,1.0,20,2.4,26,-14.271
216,1.5,20,2.4,26,-7.291
217,2.0,20,2.4,26,-7.795
218,2.5,20,2.4,26,-8.912
219,3.0,20,2.4,26,-4.486
220,1.5,20,3.0,26,0.278
221,1.0,20,3.0,26,-5.545
222,2.0,20,3.0,26,0.209
223,2.5,20,3.0,26,-0.347
224,3.0,20,3.0,26,-0.289
225,1.0,20,1.0,36,-19.229
226,1.5,20,1.0,36,-15.135
227,2.5,20,1.0,36,-9.89
228,2.0,20,1.0,36,-8.68
229,3.0,20,1.0,36,-8.628
230,1.0,20,1.4,36,-24.006
231,3.0,20,1.4,36,-8.13
232,1.5,20,1.4,36,-14.002
233,2.0,20,1.4,36,-9.511
234,2.5,20,1.4,36,-11.331
235,1.0,20,1.8,36,-21.648
236,1.5,20,1.8,36,-8.535
237,2.0,20,1.8,36,-4.918
238,2.5,20,1.8,36,-4.968
239,3.0,20,1.8,36,-5.867
240,1.5,20,2.4,36,5.585
241,1.0,20,2.4,36,9.099
242,2.0,20,2.4,36,2.107
243,2.5,20,2.4,36,0.331
244,3.0,20,2.4,36,0.956
245,1.0,20,3.0,36,-7.58
246,1.5,20,3.0,36,-6.74
247,2.0,20,3.0,36,-5.591
248,2.5,20,3.0,36,-3.666
249,3.0,20,3.0,36,-3.329
250,1.0,20,1.0,46,-22.306
251,1.5,20,1.0,46,-11.213
252,2.0,20,1.0,46,-8.192
253,2.5,20,1.0,46,-8.261
254,3.0,20,1.0,46,-6.439
255,1.0,20,1.4,46,-3.341
256,2.5,20,1.4,46,-5.164
257,1.5,20,1.4,46,-5.13
258,2.0,20,1.4,46,-6.051
259,3.0,20,1.4,46,2.078
260,1.0,20,1.8,46,-19.694
261,1.5,20,1.8,46,-6.063
262,2.0,20,1.8,46,-4.066
263,3.0,20,1.8,46,-4.236
264,2.5,20,1.8,46,-5.689
265,1.0,20,2.4,46,-3.457
266,1.5,20,2.4,46,-5.646
267,2.0,20,2.4,46,-6.07
268,3.0,20,2.4,46,-1.849
269,2.5,20,2.4,46,-3.161
270,1.0,20,3.0,46,-7.889
271,1.5,20,3.0,46,-7.513
272,2.0,20,3.0,46,-6.647
273,2.5,20,3.0,46,-6.513
274,3.0,20,3.0,46,-5.691
275,1.0,20,1.0,56,-1.811
276,1.5,20,1.0,56,-3.01
277,2.0,20,1.0,56,-4.534
278,3.0,20,1.0,56,-0.216
279,2.5,20,1.0,56,1.156
280,1.0,20,1.4,56,2.925
281,2.5,20,1.4,56,-0.864
282,1.5,20,1.4,56,-1.044
283,2.0,20,1.4,56,-1.966
284,3.0,20,1.4,56,0.083
285,1.0,20,1.8,56,-20.208
286,1.5,20,1.8,56,-15.079
287,2.0,20,1.8,56,-10.655
288,2.5,20,1.8,56,-4.103
289,3.0,20,1.8,56,-3.844
290,1.0,20,2.4,56,10.147
291,1.5,20,2.4,56,9.689
292,2.0,20,2.4,56,4.792
293,2.5,20,2.4,56,1.919
294,3.0,20,2.4,56,2.892
295,1.5,20,3.0,56,-8.596
