index,ATR_mult,ATR_num,consec_candles,total_R
198,3.0,39,8,0.726
199,2.0,39,8,1.09
200,0.6,42,3,58.006
201,1.0,42,3,34.804
202,0.8,42,3,43.505
203,1.6,42,3,21.752
204,2.0,42,3,17.402
205,1.2,42,3,29.003
206,2.5,42,3,13.921
207,3.0,42,3,11.601
208,0.8,42,4,24.038
209,0.6,42,4,32.051
210,1.0,42,4,19.231
211,1.2,42,4,16.026
212,1.6,42,4,12.019
213,2.0,42,4,9.615
214,2.5,42,4,7.692
215,3.0,42,4,6.41
216,0.6,42,5,21.062
217,0.8,42,5,15.796
218,1.0,42,5,12.637
219,1.2,42,5,10.531
220,2.0,42,5,6.319
221,1.6,42,5,7.898
222,2.5,42,5,5.055
223,3.0,42,5,4.212
224,0.8,42,6,6.825
225,0.6,42,6,9.099
226,1.0,42,6,5.46
227,1.2,42,6,4.55
228,2.0,42,6,2.73
229,1.6,42,6,3.412
230,3.0,42,6,1.82
231,2.5,42,6,2.184
232,0.8,42,8,2.723
233,0.6,42,8,3.631
234,1.0,42,8,2.178
235,1.2,42,8,1.815
236,2.5,42,8,0.871
237,1.6,42,8,1.361
238,2.0,42,8,1.089
239,3.0,42,8,0.726
240,0.6,48,3,57.998
241,1.0,48,3,34.799
242,0.8,48,3,43.499
243,1.2,48,3,28.999
244,2.0,48,3,17.4
245,1.6,48,3,21.749
246,2.5,48,3,13.92
247,3.0,48,3,11.6
248,0.6,48,4,32.038
249,0.8,48,4,24.029
250,1.2,48,4,16.019
251,1.0,48,4,19.223
252,1.6,48,4,12.014
253,2.0,48,4,9.611
254,2.5,48,4,7.689
255,3.0,48,4,6.408
256,1.0,48,5,12.589
257,0.6,48,5,20.982
258,0.8,48,5,15.736
259,1.2,48,5,10.491
260,1.6,48,5,7.868
261,2.5,48,5,5.036
262,2.0,48,5,6.294
263,3.0,48,5,4.196
264,0.6,48,6,9.1
265,0.8,48,6,6.825
266,1.0,48,6,5.46
267,1.2,48,6,4.55
268,2.0,48,6,2.73
269,1.6,48,6,3.412
270,2.5,48,6,2.184
271,3.0,48,6,1.82
272,1.0,48,8,2.18
273,0.6,48,8,3.634
274,1.6,48,8,1.363
275,1.2,48,8,1.817
276,0.8,48,8,2.725
277,2.0,48,8,1.09
278,2.5,48,8,0.872
279,3.0,48,8,0.727
280,1.0,54,3,34.862
281,0.6,54,3,58.104
282,0.8,54,3,43.578
283,1.2,54,3,29.052
284,1.6,54,3,21.789
285,2.0,54,3,17.431
286,2.5,54,3,13.945
287,3.0,54,3,11.621
288,1.0,54,4,19.29
289,0.6,54,4,32.149
290,0.8,54,4,24.112
291,1.2,54,4,16.075
292,2.5,54,4,7.716
293,1.6,54,4,12.056
294,2.0,54,4,9.645
295,3.0,54,4,6.43
296,0.6,54,5,21.037
297,0.8,54,5,15.778
298,1.2,54,5,10.518
299,1.0,54,5,12.622
300,1.6,54,5,7.889
301,2.5,54,5,5.049
302,2.0,54,5,6.311
303,3.0,54,5,4.207
304,0.6,54,6,9.102
305,0.8,54,6,6.826
306,1.0,54,6,5.461
307,1.2,54,6,4.551
308,1.6,54,6,3.413
309,2.5,54,6,2.184
310,2.0,54,6,2.73
311,3.0,54,6,1.82
312,0.6,54,8,3.643
313,0.8,54,8,2.732
314,1.0,54,8,2.186
315,1.2,54,8,1.821
316,1.6,54,8,1.366
317,2.0,54,8,1.093
318,2.5,54,8,0.874
319,3.0,54,8,0.729
