Date_Time,Open,High,Low,Close,Volume
2019-01-01 16:00:00,1.14649,1.14678,1.14462,1.14523,2762
2019-01-01 20:00:00,1.14526,1.14791,1.14430,1.14782,2208
2019-01-02 00:00:00,1.14782,1.14970,1.14224,1.14341,8730
2019-01-02 04:00:00,1.14338,1.14416,1.13674,1.13718,7641
2019-01-02 08:00:00,1.13715,1.13754,1.13313,1.13353,10092
2019-01-02 12:00:00,1.13355,1.13480,1.13250,1.13447,4075
2019-01-02 16:00:00,1.13431,1.13526,1.13091,1.13484,11185
2019-01-02 20:00:00,1.13481,1.13716,1.13462,1.13610,3740
2019-01-03 00:00:00,1.13610,1.13840,1.13540,1.13758,9452
2019-01-03 04:00:00,1.13758,1.13796,1.13377,1.13658,8497
2019-01-03 08:00:00,1.13656,1.14112,1.13614,1.13988,16207
2019-01-03 12:00:00,1.13984,1.14068,1.13832,1.13942,5054
2019-01-03 16:00:00,1.13930,1.14120,1.13884,1.14041,3941
2019-01-03 20:00:00,1.14042,1.14077,1.13881,1.13902,2010
2019-01-04 00:00:00,1.13902,1.14190,1.13834,1.14032,5317
2019-01-04 04:00:00,1.14026,1.14156,1.13638,1.13716,9158
2019-01-04 08:00:00,1.13714,1.14180,1.13458,1.14056,15565
2019-01-04 12:00:00,1.14056,1.14109,1.13942,1.13951,5031
2019-01-06 16:00:00,1.13974,1.14233,1.13972,1.14212,3215
2019-01-06 20:00:00,1.14212,1.14301,1.14162,1.14236,1684
2019-01-07 00:00:00,1.14236,1.14480,1.14102,1.14412,5428
2019-01-07 04:00:00,1.14415,1.14590,1.14335,1.14579,4359
2019-01-07 08:00:00,1.14578,1.14728,1.14538,1.14690,7844
2019-01-07 12:00:00,1.14686,1.14827,1.14678,1.14748,3118
2019-01-07 16:00:00,1.14773,1.14848,1.14471,1.14485,2918
2019-01-07 20:00:00,1.14488,1.14535,1.14322,1.14438,2162
2019-01-08 00:00:00,1.14438,1.14612,1.14332,1.14521,5497
2019-01-08 04:00:00,1.14520,1.14696,1.14219,1.14276,5715
2019-01-08 08:00:00,1.14276,1.14555,1.14244,1.14545,6857
2019-01-08 12:00:00,1.14548,1.14594,1.14360,1.14417,2325
2019-01-08 16:00:00,1.14417,1.14664,1.14364,1.14576,2479
2019-01-08 20:00:00,1.14577,1.14641,1.14486,1.14609,1691
2019-01-09 00:00:00,1.14609,1.14785,1.14542,1.14606,5660
2019-01-09 04:00:00,1.14606,1.14643,1.14390,1.14623,5750
2019-01-09 08:00:00,1.14620,1.15404,1.14616,1.15328,15033
2019-01-09 12:00:00,1.15332,1.15584,1.15288,1.15426,8545
2019-01-09 16:00:00,1.15420,1.15610,1.15400,1.15542,4297
2019-01-09 20:00:00,1.15538,1.15702,1.15488,1.15608,2199
2019-01-10 00:00:00,1.15608,1.15613,1.15195,1.15246,7260
2019-01-10 04:00:00,1.15245,1.15454,1.15176,1.15204,6143
2019-01-10 08:00:00,1.15206,1.15307,1.14972,1.15060,8095
2019-01-10 12:00:00,1.15064,1.15136,1.14846,1.15002,4723
2019-01-10 16:00:00,1.14996,1.15228,1.14965,1.15178,2638
2019-01-10 20:00:00,1.15174,1.15310,1.15135,1.15254,1554
2019-01-11 00:00:00,1.15254,1.15322,1.15166,1.15200,4651
2019-01-11 04:00:00,1.15200,1.15406,1.15156,1.15266,7523
2019-01-11 08:00:00,1.15264,1.15270,1.14582,1.14826,11651
2019-01-11 12:00:00,1.14826,1.14840,1.14582,1.14687,3482
2019-01-13 16:00:00,1.14609,1.14773,1.14592,1.14760,1828
2019-01-13 20:00:00,1.14760,1.14814,1.14661,1.14787,1443
2019-01-14 00:00:00,1.14787,1.14820,1.14542,1.14624,6082
2019-01-14 04:00:00,1.14625,1.14736,1.14508,1.14596,7461
2019-01-14 08:00:00,1.14598,1.14805,1.14538,1.14767,6577
2019-01-14 12:00:00,1.14771,1.14771,1.14636,1.14684,2177
2019-01-14 16:00:00,1.14684,1.14898,1.14652,1.14848,2213
2019-01-14 20:00:00,1.14852,1.14895,1.14761,1.14834,1400
2019-01-15 00:00:00,1.14834,1.14834,1.14234,1.14336,6339
2019-01-15 04:00:00,1.14332,1.14440,1.14122,1.14384,7565
2019-01-15 08:00:00,1.14388,1.14550,1.13831,1.13900,11483
2019-01-15 12:00:00,1.13899,1.14176,1.13822,1.14130,8543
2019-01-15 16:00:00,1.14114,1.14146,1.13969,1.13982,2049
2019-01-15 20:00:00,1.13984,1.14154,1.13962,1.14118,1775
2019-01-16 00:00:00,1.14116,1.14248,1.13915,1.14104,6168
2019-01-16 04:00:00,1.14102,1.14114,1.13779,1.13903,5700
2019-01-16 08:00:00,1.13904,1.14108,1.13904,1.13997,6134
2019-01-16 12:00:00,1.13993,1.14100,1.13900,1.13914,3484
2019-01-16 16:00:00,1.13940,1.14008,1.13922,1.13942,2068
2019-01-16 20:00:00,1.13944,1.13965,1.13793,1.13878,1552
2019-01-17 00:00:00,1.13876,1.14018,1.13712,1.13940,5302
2019-01-17 04:00:00,1.13936,1.14060,1.13827,1.13980,5467
2019-01-17 08:00:00,1.13976,1.14006,1.13702,1.13864,6108
2019-01-17 12:00:00,1.13860,1.14006,1.13800,1.13892,4991
2019-01-17 16:00:00,1.13884,1.13998,1.13867,1.13951,2010
2019-01-17 20:00:00,1.13949,1.13974,1.13869,1.13891,1601
2019-01-18 00:00:00,1.13891,1.14010,1.13884,1.13980,4009
2019-01-18 04:00:00,1.13981,1.14104,1.13966,1.13977,4096
2019-01-18 08:00:00,1.13978,1.14006,1.13532,1.13584,8564
2019-01-18 12:00:00,1.13586,1.13722,1.13580,1.13620,2618
2019-01-20 16:00:00,1.13616,1.13776,1.13606,1.13762,2653
2019-01-20 20:00:00,1.13766,1.13803,1.13732,1.13778,1333
2019-01-21 00:00:00,1.13778,1.13914,1.13660,1.13714,3807
2019-01-21 04:00:00,1.13714,1.13801,1.13569,1.13614,3217
2019-01-21 08:00:00,1.13612,1.13712,1.13574,1.13684,2811
2019-01-21 12:00:00,1.13680,1.13722,1.13635,1.13658,3535
2019-01-21 16:00:00,1.13672,1.13730,1.13646,1.13698,3083
2019-01-21 20:00:00,1.13701,1.13710,1.13556,1.13577,1460
2019-01-22 00:00:00,1.13577,1.13651,1.13460,1.13604,4257
2019-01-22 04:00:00,1.13604,1.13674,1.13452,1.13458,3648
2019-01-22 08:00:00,1.13454,1.13716,1.13360,1.13692,5115
2019-01-22 12:00:00,1.13696,1.13738,1.13521,1.13596,2906
2019-01-22 16:00:00,1.13606,1.13676,1.13596,1.13656,2287
2019-01-22 20:00:00,1.13655,1.13689,1.13628,1.13685,1227
2019-01-23 00:00:00,1.13684,1.13724,1.13536,1.13560,3684
2019-01-23 04:00:00,1.13556,1.13701,1.13508,1.13546,4487
2019-01-23 08:00:00,1.13542,1.13946,1.13517,1.13925,6276
2019-01-23 12:00:00,1.13926,1.13935,1.13793,1.13807,2083
2019-01-23 16:00:00,1.13811,1.13915,1.13786,1.13868,2373
2019-01-23 20:00:00,1.13867,1.13904,1.13826,1.13856,1304
2019-01-24 00:00:00,1.13854,1.13882,1.13400,1.13469,8064
2019-01-24 04:00:00,1.13466,1.13590,1.13067,1.13356,11890
2019-01-24 08:00:00,1.13353,1.13806,1.12949,1.12993,11388
2019-01-24 12:00:00,1.12990,1.13138,1.12894,1.13050,4198
2019-01-24 16:00:00,1.13034,1.13159,1.13004,1.13081,4337
2019-01-24 20:00:00,1.13078,1.13281,1.13074,1.13223,1956
2019-01-25 00:00:00,1.13223,1.13347,1.13148,1.13302,5898
2019-01-25 04:00:00,1.13300,1.13580,1.13266,1.13574,5210
2019-01-25 08:00:00,1.13570,1.14148,1.13562,1.14054,9570
2019-01-25 12:00:00,1.14055,1.14176,1.14021,1.14057,4162
2019-01-27 16:00:00,1.14016,1.14190,1.14014,1.14148,3123
2019-01-27 20:00:00,1.14149,1.14260,1.14091,1.14119,1656
2019-01-28 00:00:00,1.14119,1.14157,1.13904,1.14084,3899
2019-01-28 04:00:00,1.14082,1.14239,1.14065,1.14170,3930
2019-01-28 08:00:00,1.14170,1.14439,1.14048,1.14344,6324
2019-01-28 12:00:00,1.14342,1.14392,1.14254,1.14262,1963
2019-01-28 16:00:00,1.14292,1.14342,1.14204,1.14250,1936
2019-01-28 20:00:00,1.14246,1.14339,1.14246,1.14331,1406
2019-01-29 00:00:00,1.14331,1.14502,1.14312,1.14416,4298
2019-01-29 04:00:00,1.14412,1.14461,1.14186,1.14262,4697
2019-01-29 08:00:00,1.14258,1.14399,1.14113,1.14280,7488
2019-01-29 12:00:00,1.14279,1.14408,1.14221,1.14328,6268
2019-01-29 16:00:00,1.14318,1.14412,1.14272,1.14396,2538
2019-01-29 20:00:00,1.14392,1.14458,1.14356,1.14450,1364
2019-01-30 00:00:00,1.14450,1.14502,1.14242,1.14308,5630
2019-01-30 04:00:00,1.14306,1.14410,1.14220,1.14256,4676
2019-01-30 08:00:00,1.14256,1.14267,1.14063,1.14192,4869
2019-01-30 12:00:00,1.14190,1.15018,1.14139,1.14800,10833
2019-01-30 16:00:00,1.14800,1.14958,1.14788,1.14935,1511
2019-01-30 20:00:00,1.14932,1.15089,1.14919,1.15051,1229
2019-01-31 00:00:00,1.15051,1.15144,1.14831,1.14844,5719
2019-01-31 04:00:00,1.14846,1.14958,1.14716,1.14946,5867
2019-01-31 08:00:00,1.14944,1.14954,1.14360,1.14499,7344
2019-01-31 12:00:00,1.14501,1.14505,1.14396,1.14474,2262
2019-01-31 16:00:00,1.14478,1.14500,1.14380,1.14426,864
2019-01-31 20:00:00,1.14424,1.14474,1.14345,1.14368,1204
2019-02-01 00:00:00,1.14368,1.14674,1.14348,1.14666,4062
2019-02-01 04:00:00,1.14670,1.14857,1.14538,1.14738,6272
2019-02-01 08:00:00,1.14736,1.14884,1.14478,1.14686,6533
2019-02-01 12:00:00,1.14689,1.14692,1.14530,1.14562,1910
2019-02-03 16:00:00,1.14521,1.14599,1.14521,1.14582,858
2019-02-03 20:00:00,1.14580,1.14603,1.14415,1.14436,1029
2019-02-04 00:00:00,1.14438,1.14534,1.14380,1.14454,3230
2019-02-04 04:00:00,1.14456,1.14544,1.14408,1.14488,3139
2019-02-04 08:00:00,1.14491,1.14505,1.14244,1.14314,4787
2019-02-04 12:00:00,1.14312,1.14376,1.14268,1.14376,1395
2019-02-04 16:00:00,1.14376,1.14398,1.14332,1.14382,807
2019-02-04 20:00:00,1.14380,1.14404,1.14308,1.14343,1012
2019-02-05 00:00:00,1.14340,1.14341,1.14117,1.14196,2921
2019-02-05 04:00:00,1.14194,1.14332,1.14127,1.14288,3686
2019-02-05 08:00:00,1.14290,1.14340,1.14011,1.14094,4629
2019-02-05 12:00:00,1.14097,1.14172,1.14014,1.14042,1679
2019-02-05 16:00:00,1.14050,1.14096,1.13978,1.14013,1183
2019-02-05 20:00:00,1.14016,1.14064,1.13960,1.13968,1220
2019-02-06 00:00:00,1.13968,1.13982,1.13802,1.13886,3194
2019-02-06 04:00:00,1.13884,1.13988,1.13832,1.13868,2951
2019-02-06 08:00:00,1.13870,1.13901,1.13744,1.13755,3681
2019-02-06 12:00:00,1.13753,1.13758,1.13608,1.13618,1791
2019-02-06 16:00:00,1.13638,1.13689,1.13594,1.13607,928
2019-02-06 20:00:00,1.13609,1.13644,1.13568,1.13597,604
2019-02-07 00:00:00,1.13594,1.13666,1.13403,1.13451,2909
2019-02-07 04:00:00,1.13449,1.13484,1.13247,1.13308,4472
2019-02-07 08:00:00,1.13310,1.13599,1.13308,1.13492,3998
2019-02-07 12:00:00,1.13490,1.13558,1.13364,1.13394,1911
2019-02-07 16:00:00,1.13402,1.13459,1.13354,1.13378,993
2019-02-07 20:00:00,1.13374,1.13436,1.13359,1.13394,768
2019-02-08 00:00:00,1.13394,1.13431,1.13228,1.13258,2748
2019-02-08 04:00:00,1.13261,1.13509,1.13260,1.13470,2556
2019-02-08 08:00:00,1.13468,1.13490,1.13212,1.13296,4039
2019-02-08 12:00:00,1.13299,1.13310,1.13213,1.13224,1086
2019-02-10 16:00:00,1.13202,1.13278,1.13150,1.13274,1250
2019-02-10 20:00:00,1.13272,1.13278,1.13184,1.13241,607
2019-02-11 00:00:00,1.13241,1.13300,1.13021,1.13025,2694
2019-02-11 04:00:00,1.13022,1.13216,1.12970,1.13104,3219
2019-02-11 08:00:00,1.13106,1.13120,1.12691,1.12708,4131
2019-02-11 12:00:00,1.12710,1.12782,1.12674,1.12756,1143
2019-02-11 16:00:00,1.12767,1.12828,1.12724,1.12823,1044
2019-02-11 20:00:00,1.12826,1.12851,1.12751,1.12795,787
2019-02-12 00:00:00,1.12795,1.12902,1.12578,1.12745,2951
2019-02-12 04:00:00,1.12743,1.12975,1.12730,1.12927,2739
2019-02-12 08:00:00,1.12925,1.13226,1.12874,1.13199,3600
2019-02-12 12:00:00,1.13196,1.13397,1.13196,1.13260,1753
2019-02-12 16:00:00,1.13264,1.13382,1.13254,1.13352,1630
2019-02-12 20:00:00,1.13350,1.13415,1.13336,1.13383,975
2019-02-13 00:00:00,1.13381,1.13386,1.13130,1.13207,2609
2019-02-13 04:00:00,1.13205,1.13314,1.12892,1.12914,4376
2019-02-13 08:00:00,1.12916,1.13040,1.12727,1.12762,4264
2019-02-13 12:00:00,1.12765,1.12830,1.12602,1.12607,1585
2019-02-13 16:00:00,1.12602,1.12698,1.12493,1.12694,1591
2019-02-13 20:00:00,1.12692,1.12837,1.12688,1.12802,968
2019-02-14 00:00:00,1.12802,1.12948,1.12499,1.12666,4509
2019-02-14 04:00:00,1.12668,1.13097,1.12613,1.13024,5710
2019-02-14 08:00:00,1.13022,1.13052,1.12648,1.12968,6727
